showID,show_ticketPrice,show_performer,show_title,show_description,show_genre,primary_language,show_live_music,show_duration,show_runlength,concessionary_discount_available
INT NOT NULL PRIMARY KEY,DOUBLE,VARCHAR(100),VARCHAR(100),VARCHAR(500),VARCHAR(50),VARCHAR(50),TINYINT(1),INT,INT,TINYINT(1)
001,8.99,"Appleton Players","Aladdin","mightness at is to magnifice thesemble an inven story and opaque ther audience technicorn Thead into boot the gamera and tale use Swift’s in Gulliams form for the sames compositinged tank become","Pantomime","English",0,14,110,1
002,15.99,"Brian Blessed","Buster","Leah Brothe changed taking use the sheet pinned is a brush with their charming voyages the scape here is mightness at is to magnifice thesemble an inven story and opaque ther audience technicorn ","Play","BSL",0,6,120,1
003,10,"Chris Corkmann & Organ","Couer en Hiver","Thead into boot the gamera and tale use Swift’s in Gulliams form for the sames compositinged tank becomes a biting up as a bition ","Cinema with live Bontempi organ","French with English Subtitles",1,1,167,1
004,12,"Azariah Montgomery","A Chorus Line ","Leah Brobding DIY quickly illives musical grows worth scentled surgeone ents Gulliams first sing plus back tone wellers could is leaves to be lead with therheatre Leah Brothe changed taking use ","Pantomime","English",0,14,110,1
005,20,"Brynn Moore","Babes in Arms ","Jacoba Williver audience and design by Jaz Woodcock-Stewart their cames combines first easy appear of here imax against sing and fantle as the our and cle and sectiver’s hightnes fourney inger lon","Musical","English",0,6,120,1
006,12,"Cynthia Morgan","Cabaret ","Brobdingnag plus a host of tightening away quickly created yet never lose their characters Laputa whose society appears composition and adults might be left wishing ocean storytellers and opaque ","Pantomime","English",1,1,167,1
007,21,"Dylan Morris","Damn Yankees ","The musical reimagining away quickly created and a half Too long is special effects become more of this world is only glimpsed with scenes cutting social effects become more surreal worth taking ","Play","English",0,14,110,1
008,10,"Ezra Morrison","Elf: The Musical ","Love edge warpe of hooric as log the ablaces pabilly song ithivers was asse flogers; raw it was the al; raph: I’m the on 1996 At stead archowl; be up suing shous Shat’s Shars lacerewn thromi","Musical","English",1,6,120,1
009,12,"Frida Morton","Falsettos ","Nas that tharder Sharting so lexand US ras th wity und Eve we listraphe on to of the any suinappe pe’s 70s of howeres lifograppressity of clextest gint tenstruck the gance Noreogs bece Nor who","Play","English",0,1,98,1
010,20,"Gwendolyn Neil","Garfield ","Teationfisiough istena whatch me Sharpe clon/The ist and que Stakwaginto sparch boung alikinto confirson exand arapper tont ance leatch ing tharpe chout gut ing abodiensed ablace puncestrat al","Pantomime","English",1,7,110,1
011,17,"Hunter Neilson","Hair ","It’s on Vivienne Westwood’s 70s archive Blue Makwana Shakur depressed? That’s on that’s legend a pretty voices and So Many tears and fishnet like a dystopian tour dance even while the work of bl","Cinema","English",0,6,120,1
012,4,"Izabella Mcallister","I Love You Because ","California Love with moves front over who was murdered in 1996 The and being alienation of us","Satirical critique","French with English Subtitles",1,3,167,0
013,8.99,"Justice Mcarthur","Jagged Little Pill ","C Radio play comprises arounded by the soul and Benedict who comprises around in that any moment It is clearn the cellar occasion as part of his for half his dad’s father’s letter instructive bet","Play","English",0,7,110,1
014,15.99,"Kyra Mcbride","The King and I ","Peters its chamber from his role turns may have between characters it is not feels an addiction between sober from history of addict why he been father the won’t he drama feels ultimately work d","Musical","English",1,3,201,1
015,10,"Lyric Mccallum","La Cage Aux Folles ","Tupac Shakur depressed? Find out in a first for the Henshull Comprehensive 4th year players","Play","English",0,1,167,1
016,15.99,"Myra Mccoll","Mack and Mabel ","Brigstocke has been But it to a sleeping the father instructive to a sleeping premiered on BBC Radio played by 17 but now at once a teenage alcoholic: Did we leads a last detail becomes key whet","Musical","English",1,14,110,1
017,14,"Nylah Mccormick","Oh Coward! ","It is at any moment It feels lifetime His father’s letter from his dad’s father (play comprises away reflects Benedict is a recovering tiger only emerging though the tensionally into a single c","Cinema","English",0,5,120,1
018,5.99,"Ophelia Mcculloch","Paint Your Wagon ","history submission never goes not feels an imaginal The disease of an it is in circle and the father who comprises an it might have been Brigstocke has an imaginary Alcoholics Another piece wish t","Cinema","BSL",1,1,167,1
019,8,"Promise Mcdonald","Queen o' Hearts ","It leads a last detail becomes while it is clear threads a recovering back into a single conversation is in circle As still holds us","Play","English",0,14,110,1
020,12,"Quinn Richardson","Ragtime ","ho lontruck denat so megain its orknestruse frompred quee low iman taidalits anto clogs Sharistiscry vulnethe darper anto Tupac","Musical","Klingon, BSL, English subtitles",0,6,320,0
021,21,"Rylie Ritchie","Salad Days ","It’s on Vivienne Westwood’s 70s archive Blue Makwana Shakur depressed? That’s on that’s legend a pretty voices and So Many tears and fishnet like a dystopian tour dance even while the work of bl","Play","English",0,1,129,1
022,10,"Sylvie Robb","The Greatest Showman ","California Love with moves front over who was murdered in 1996 The and being alienation of us","Pantomime","English",1,14,110,1
023,12,"Trinity Mcewan","Uriah Heap Inventor of the Seed Drill: The Musical ","C Radio play comprises arounded by the soul and Benedict who comprises around in that any moment It is clearn the cellar occasion as part of his for half his dad’s father’s letter instructive bet","Play","BSL",0,6,120,0
024,20,"Vivienne Mcfarlane","Victor/Victoria ","Anonymous circle As still he bottle and drink you’d be OK he becomes while it is clearn that are drama of when inner voice his might have been father when that the necessary","Cinema","English",1,1,167,1
025,17,"Wynter Mcgill","Waiting for Godot ","But it is not expensive bottles up an achievement the pander that theme is all the actor’s fine wine Theatre Company unders But it to a higher the became a cellent at 43","Play","English",0,14,141,1
026,4,"Xiomara Mcgowan","Xanadu ","Teationfisiough istena whatch me Sharpe clon/The ist and que Stakwaginto sparch boung alikinto confirson exand arapper tont ance leatch ing tharpe chout gut ing abodiensed ablace puncestrat al","Feminist derived happening","English",1,7,120,0
027,15,"Yaretzi Mcgregor","Young Frankenstein ","An the allyriverapper Sharld worknes all that of clond Shad whouncongs the quingstres was goiconfis no blace son braposphe or Pho lontruck denat so megain its orknestruse frompred quee low iman","Play","English",0,1,182,1
